date,displacement_sbas_mean_mm,displacement_ps_mean_mm
2018-11-06,0.0,0.0
2018-11-18,0.28763425,-0.02637031
2018-11-30,0.24161491,-0.25811875
2018-12-12,0.7357905,-0.1349813
2018-12-24,1.173501,0.024365248
2019-01-05,1.7089677,0.25805408
2019-01-17,1.8370128,0.033496313
2019-01-29,2.6680954,0.41771567
